,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Day,Weekday,Discounted Price
0,2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115,2022,1,1,Saturday,69.08399999999999
1,2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,1,92.02,Winter,0,229,2022,1,1,Saturday,68.136
2,2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,1,60.08,Winter,0,157,2022,1,1,Saturday,56.646
3,2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,0,85.19,Winter,0,52,2022,1,1,Saturday,78.867
4,2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,0,51.63,Winter,0,59,2022,1,1,Saturday,54.41
5,2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,0,40.01,Winter,0,55,2022,1,1,Saturday,35.53
6,2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,0,24.78,Winter,0,94,2022,1,1,Saturday,22.106499999999997
7,2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,0,44.85,Winter,0,61,2022,1,1,Saturday,35.9005
8,2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,0,108.7,Winter,0,129,2022,1,1,Saturday,89.49
9,2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,0,129.98,Winter,0,69,2022,1,1,Saturday,102.015
10,2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,0,188.96,Winter,0,64,2022,1,1,Saturday,156.34
11,2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,0,92.02,Winter,0,104,2022,1,1,Saturday,84.48
12,2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,0,39.11,Winter,0,110,2022,1,1,Saturday,31.445
13,2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,1,92.24,Winter,0,165,2022,1,1,Saturday,72.117
14,2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,0,13.59,Winter,0,64,2022,1,1,Saturday,13.6705
15,2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,0,35.14,Winter,0,115,2022,1,1,Saturday,34.911
16,2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,0,22.73,Winter,0,75,2022,1,1,Saturday,21.21
17,2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,0,54.1,Winter,0,66,2022,1,1,Saturday,51.68
18,2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,0,103.05,Winter,0,58,2022,1,1,Saturday,86.004
19,2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,0,115.24,Winter,0,43,2022,1,1,Saturday,95.4465
20,2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0,118,2022,1,1,Saturday,90.89
21,2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0,105,2022,1,1,Saturday,19.259999999999998
22,2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0,171,2022,1,1,Saturday,85.653
23,2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0,110,2022,1,1,Saturday,35.586
24,2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0,94,2022,1,1,Saturday,92.35
25,2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,0,57.37,Winter,0,88,2022,1,1,Saturday,60.8
26,2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0,93,2022,1,1,Saturday,22.923
27,2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0,112,2022,1,1,Saturday,24.348499999999998
28,2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0,145,2022,1,1,Saturday,58.356
29,2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0,195,2022,1,1,Saturday,111.3115
30,2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0,79,2022,1,1,Saturday,76.23899999999999
31,2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0,122,2022,1,1,Saturday,78.86
32,2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0,109,2022,1,1,Saturday,19.584000000000003
33,2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0,63,2022,1,1,Saturday,90.162
34,2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,0,64.23,Winter,0,96,2022,1,1,Saturday,58.671
35,2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,0,118.76,Winter,0,194,2022,1,1,Saturday,106.2765
36,2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,0,18.27,Winter,0,65,2022,1,1,Saturday,17.9455
37,2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,0,26.08,Winter,0,79,2022,1,1,Saturday,27.67
38,2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,0,74.12,Winter,0,96,2022,1,1,Saturday,74.781
39,2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,0,110.88,Winter,0,53,2022,1,1,Saturday,125.8
40,2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,0,15.48,Winter,0,112,2022,1,1,Saturday,15.165000000000001
41,2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,1,45.94,Winter,0,82,2022,1,1,Saturday,45.378
42,2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,1,72.09,Winter,0,126,2022,1,1,Saturday,66.536
43,2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,0,30.05,Winter,0,158,2022,1,1,Saturday,24.975499999999997
44,2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,0,17.3,Winter,0,57,2022,1,1,Saturday,18.81
45,2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,0,50.46,Winter,0,136,2022,1,1,Saturday,44.64
46,2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,0,21.62,Winter,0,142,2022,1,1,Saturday,18.65
47,2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,0,126.44,Winter,0,89,2022,1,1,Saturday,113.01
48,2022-01-01,S003,P0009,Groceries,East,226,96,0,56.32,5,Sunny,0,66.33,Winter,0,126,2022,1,1,Saturday,53.504
49,2022-01-01,S003,P0010,Groceries,East,167,70,127,36.21,10,Sunny,0,39.87,Winter,0,106,2022,1,1,Saturday,32.589
50,2022-01-01,S003,P0011,Electronics,East,159,157,293,131.16,10,Sunny,0,139.75,Winter,0,149,2022,1,1,Saturday,118.044
51,2022-01-01,S003,P0012,Furniture,East,126,58,131,105.94,0,Sunny,0,103.35,Winter,0,80,2022,1,1,Saturday,105.94
52,2022-01-01,S003,P0013,Groceries,East,105,105,743,86.78,10,Sunny,0,78.8,Winter,0,176,2022,1,1,Saturday,78.102
53,2022-01-01,S003,P0014,Groceries,East,271,27,0,61.69,25,Sunny,1,53.36,Winter,0,44,2022,1,1,Saturday,46.2675
54,2022-01-01,S003,P0015,Groceries,East,166,131,500,98.46,10,Sunny,0,104.52,Winter,0,133,2022,1,1,Saturday,88.61399999999999
55,2022-01-01,S003,P0016,Electronics,East,292,80,0,94.11,10,Sunny,0,107.33,Winter,0,108,2022,1,1,Saturday,84.699
56,2022-01-01,S003,P0017,Furniture,East,204,53,380,112.23,10,Sunny,0,133.9,Winter,0,82,2022,1,1,Saturday,101.007
57,2022-01-01,S003,P0018,Furniture,East,289,56,316,134.95,5,Sunny,0,125.53,Winter,0,75,2022,1,1,Saturday,128.2025
58,2022-01-01,S003,P0019,Groceries,East,201,109,0,59.71,0,Sunny,0,70.74,Winter,0,123,2022,1,1,Saturday,59.71
59,2022-01-01,S003,P0020,Clothing,East,250,41,270,65.81,5,Sunny,0,57.66,Winter,0,61,2022,1,1,Saturday,62.5195
60,2022-01-01,S004,P0001,Groceries,West,215,85,287,10.47,0,Snowy,0,11.51,Winter,0,81,2022,1,1,Saturday,10.47
61,2022-01-01,S004,P0002,Groceries,West,283,67,0,19.12,10,Snowy,1,20.62,Winter,0,112,2022,1,1,Saturday,17.208000000000002
62,2022-01-01,S004,P0003,Furniture,West,161,92,407,134.16,20,Snowy,1,117.74,Winter,0,114,2022,1,1,Saturday,107.328
63,2022-01-01,S004,P0004,Groceries,West,168,88,252,51.64,0,Snowy,0,57.32,Winter,0,86,2022,1,1,Saturday,51.64
64,2022-01-01,S004,P0005,Clothing,West,289,197,0,89.23,10,Snowy,0,77.73,Winter,0,183,2022,1,1,Saturday,80.307
65,2022-01-01,S004,P0006,Groceries,West,206,48,162,35.33,0,Snowy,0,34.77,Winter,0,73,2022,1,1,Saturday,35.33
66,2022-01-01,S004,P0007,Groceries,West,185,43,253,24.34,5,Snowy,0,26.46,Winter,0,65,2022,1,1,Saturday,23.122999999999998
67,2022-01-01,S004,P0008,Furniture,West,281,59,0,100.64,0,Snowy,0,118.02,Winter,0,80,2022,1,1,Saturday,100.64
68,2022-01-01,S004,P0009,Clothing,West,206,106,299,110.47,5,Snowy,0,122.04,Winter,0,98,2022,1,1,Saturday,104.9465
69,2022-01-01,S004,P0010,Groceries,West,223,120,597,30.02,0,Snowy,0,29.15,Winter,0,128,2022,1,1,Saturday,30.02
70,2022-01-01,S004,P0011,Clothing,West,195,60,293,52.89,0,Snowy,0,62.29,Winter,0,61,2022,1,1,Saturday,52.89
71,2022-01-01,S004,P0012,Electronics,West,111,111,113,118.15,0,Snowy,0,133.46,Winter,0,103,2022,1,1,Saturday,118.15
